Track,Deezer_playlists,Deezer_charts
Seven (feat. Latto) (Explicit Ver.),45,10
LALA,58,14
vampire,91,14
Cruel Summer,125,12
WHERE SHE GOES,87,15
Sprinter,88,17
Ella Baila Sola,43,13
Columbia,30,13
fukumean,48,11
La Bebe - Remix,66,13
un x100to,54,12
Super Shy,21,5
Flowers,745,58
Daylight,182,24
As It Was,863,46
Kill Bill,161,12
Cupid - Twin Ver.,78,6
"What Was I Made For? [From The Motion Picture ""Barbie""]",95,24
Classy 101,54,14
Like Crazy,23,2
LADY GAGA,10,4
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,42,1
I Wanna Be Yours,582,2
"Peso Pluma: Bzrp Music Sessions, Vol. 55",32,11
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),87,14
SABOR FRESA,10,5
Calm Down (with Selena Gomez),318,38
MOJABI GHOST,41,14
Last Night,15,1
Dance The Night (From Barbie The Album),143,38
Rush,50,1
TULUM,13,8
Creepin',245,23
Anti-Hero,165,9
TQG,184,18
Los del Espacio,34,7
Frï¿½ï¿½gil (feat. Grupo Front,24,9
Blank Space,410,2
Style,151,4
TQM,15,6
El Azul,6,3
Sunflower - Spider-Man: Into the Spider-Verse,843,4
I'm Good (Blue),537,45
See You Again,247,1
Barbie World (with Aqua) [From Barbie The Album],65,16
Angels Like You,138,1
I Ain't Worried,458,37
Die For You,24,0
Starboy,0,1
Die For You - Remix,74,1
El Cielo,57,10
Baby Don't Hurt Me,213,11
AMARGURA,23,10
(It Goes Like) Nanana - Edit,109,17
Another Love,0,19
Blinding Lights,0,20
Moonlight,57,1
La Bachata,161,15
S91,39,6
cardigan,142,4
Tï¿½ï¿,73,4
Boy's a liar Pt. 2,102,14
Left and Right (Feat. Jung Kook of BTS),4,0
BESO,182,12
Hey Mor,89,11
Yellow,0,5
Karma,32,0
People,169,8
Overdrive,31,1
Enchanted (Taylor's Version),8,2
BABY HELLO,58,3
Heat Waves,707,28
golden hour,109,18
Sweater Weather,0,1
"Quevedo: Bzrp Music Sessions, Vol. 52",164,14
Viva La Vida,0,9
Here With Me,68,1
Unholy (feat. Kim Petras),331,26
Yandel 150,80,14
CORAZï¿½ï¿½N VA,18,4
Riptide,0,1
Until I Found You (with Em Beihold) - Em Beihold Version,71,0
Novidade na ï¿½ï¿,25,2
Back To December (Taylor's Version),5,0
STAY (with Justin Bieber),798,31
El Merengue,110,11
Someone You Loved,0,0
Me Porto Bonito,141,26
Makeba,0,22
MONTAGEM - FR PUNK,8,0
Fast Car,35,0
What It Is (Solo Version),24,0
Coco Chanel,29,5
Donï¿½ï¿½ï¿½t Bl,0,0
Still With You,8,0
All My Life (feat. J. Cole),69,2
Say Yes To Heaven,63,1
Snooze,42,1
Summertime Sadness,0,3
Take Two,25,4
Lover,163,0
Too Many Nights (feat. Don Toliver & with Future),19,2
Chemical,59,3
Mockingbird,0,5
New Jeans,4,4
Primera Cita,6,6
Cold Heart - PNAU Remix,0,37
Dandelions,59,1
Bones,327,17
Set Fire to the Rain,0,5
Money Trees,695,0
Tak Segampang Itu,0,0
LAGUNAS,4,2
Mine (Taylor's Version),6,1
Everybody Wants To Rule The World,0,0
No Role Modelz,476,0
Tattoo,145,18
Rara Vez,24,3
VAGABUNDO,47,8
august,61,1
LUNA,8,1
Miracle (with Ellie Goulding),246,9
Nonsense,38,8
Que Vuelvas,21,9
Por las Noches,4,3
Feliz Cumpleaï¿½ï¿½os Fe,52,4
Can't Hold Us (feat. Ray Dalton),0,2
Watermelon Sugar,0,12
lovely - Bonus Track,0,2
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",32,5
Queencard,7,0
OMG,15,1
Radio,282,3
"Shakira: Bzrp Music Sessions, Vol. 53",254,29
505,588,1
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",31,0
Trance (with Travis Scott & Young Thug),30,1
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",1,0
Perfect,0,0
Romantic Homicide,50,0
Believer,0,10
Novo Balanï¿½,26,1
"Gol Bolinha, Gol Quadrado 2",30,2
Without Me,0,5
QUEMA,26,3
Stargirl Interlude,5,0
Ojitos Lindos,99,13
Somewhere Only We Know,0,0
Those Eyes,44,1
El Gordo Trae El Mando,4,2
Mi Bello Angel,3,1
Bye,8,2
Danza Kuduro,974,1
Nosso Quadro,66,3
Locked Out Of Heaven,356,0
Un Finde | CROSSOVER #2,12,5
Jimmy Cooks (feat. 21 Savage),58,1
Counting Stars,0,11
Ghost,95,0
Under The Influence,3,0
PRC,10,6
Gasolina,453,0
One Dance,0,0
Enchanted,113,0
Save Your Tears,112,0
Sure Thing,435,6
Every Breath You Take - Remastered 2003,929,0
The Night We Met,939,1
We Found Love,0,1
When I Was Your Man,806,0
Let Me Down Slowly,885,0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",28,1
Do I Wanna Know?,0,1
Demons,0,4
ýýýýýýýýýýýý,8,1
Reminder,238,1
Shake It Off,0,9
Why'd You Only Call Me When You're High?,0,2
SNAP,226,24
Shape of You,0,7
Night Changes,2,0
Fin de Semana,6,1
Creep,0,5
Car's Outside,61,0
Apocalypse,790,2
Cheques,0,0
Pink + White,266,1
Circles,633,3
Just The Way You Are,0,0
Take Me To Church,0,1
Bebe Dame,21,7
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,1,0
Titi Me Preguntï¿,139,14
Better Than Revenge (Taylor's Version),3,0
Shut up My Moms Calling,19,0
Have You Ever Seen The Rain?,653,0
Es un Secreto,19,0
POLARIS - Remix,21,8
Ditto,11,1
Take On Me,0,6
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",20,1
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",15,1
Acrï¿½ï¿½s,79,11
AMG,9,5
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",1,0
S-Class,5,0
Hits Different,6,0
Chanel,21,2
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),5,0
Area Codes,25,1
Abcdario,4,1
Obsessed,2,0
Piï¿½ï¿½man Deï¿,4,1
FLOWER,20,0
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",5,0
Eyes Closed,107,3
Escapism.,114,18
La Jumpa,53,10
Karma (feat. Ice Spice),31,0
Superhero (Heroes & Villains) [with Future & Chris Brown],38,0
Las Morras,4,1
CHORRITO PA LAS ANIMAS,34,5
Ch y la Pizza,8,3
Snow On The Beach (feat. More Lana Del Rey),9,0
Players,143,0
Bite Me,5,0
Stand By Me (feat. Morgan Wallen),6,0
Normal,45,5
Hummingbird (Metro Boomin & James Blake),5,0
Seu Brilho Sumiu - Ao Vivo,51,1
Bad Habit,131,16
CUFF IT,330,26
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),8,2
69,48,2
Niï¿½ï¿½a Bo,43,5
Search & Rescue,43,0
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),33,0
Lavender Haze,38,10
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",3,0
Efecto,43,6
Erro Gostoso - Ao Vivo,76,2
Cupido,63,4
Just Wanna Rock,47,0
Unstoppable,0,2
Until I Found You,154,20
Rich Flex,42,0
Easy On Me,657,22
Cartï¿½ï¿½o B,30,1
Danger (Spider) (Offset & JID),6,0
Oi Balde - Ao Vivo,47,1
The Real Slim Shady,0,1
MERCHO,56,4
The Color Violet,21,1
Glimpse of Us,158,3
Mejor Que Yo,11,0
Curtains,27,0
UNFORGIVEN (feat. Nile Rodgers),9,0
Haegeum,10,2
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,41,1
MIENTRAS ME CURO DEL CORA,30,6
Never Felt So Alone,51,0
X SI VOLVEMOS,53,8
ceilings,48,0
Cupid,30,0
I AM,7,0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,6,0
Shorty Party,12,2
Super,9,0
Slut Me Out,13,0
Double Fantasy (with Future),28,0
All Of The Girls You Loved Before,19,0
PROVENZA,147,11
Princess Diana (with Nicki Minaj),0,0
Di Que Si,4,2
Shivers,543,18
Igualito a Mi Apï¿,5,1
Shoong! (feat. LISA of BLACKPINK),10,0
Komang,1,1
DESPECHï¿,422,15
Made You Look,127,3
Watch This - ARIZONATEARS Pluggnb Remix,21,0
No Se Va,22,9
Punto G,37,5
Lovers Rock,36,1
METAMORPHOSIS,24,0
Mami Chula,27,0
En Paris,2,1
Set Me Free Pt.2,16,1
I Was Never There,142,0
Don't ever say love me (feat. RM of BTS),5,0
Shut Down,62,0
Gato de Noche,32,3
Call Out My Name,801,1
Like Crazy (English Version),5,0
Rosa Pastel,2,1
Sunroof,110,19
Lose Yourself - Soundtrack Version,0,1
Superman,0,0
Mas Rica Que Ayer,20,0
People Pt.2 (feat. IU),11,2
REMIX EXCLUSIVO,15,0
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol",18,1
DOGTOOTH,18,0
10:35,147,18
SORRY NOT SORRY,13,0
HAPPY,11,0
La Bebe,5,1
I Know - PR1SVX Edit,5,0
Late Night Talking,199,16
Leï¿½,88,1
Save Your Tears (with Ariana Grande) (Remix),468,3
Something in the Orange,46,16
VOID,12,0
Dijeron Que No La Iba Lograr,2,1
Midnight Rain,21,0
If We Ever Broke Up,66,9
You Proof,9,0
LA INOCENTE,43,8
Malas Decisiones,21,0
Murder In My Mind,50,0
Gangsta's Paradise,386,0
CAIRO,55,1
I Love You So,135,0
Dark Red,181,0
Say You Won't Let Go,0,0
The Hills,0,0
Heart To Heart,29,1
Peaches (from The Super Mario Bros. Movie),0,0
Marisola - Remix,30,2
