Track,Shazam_charts
Seven (feat. Latto) (Explicit Ver.),826
LALA,382
vampire,949
Cruel Summer,548
WHERE SHE GOES,425
Sprinter,946
Ella Baila Sola,418
Columbia,194
fukumean,953
La Bebe - Remix,339
un x100to,251
Super Shy,168
Flowers,0
Daylight,0
As It Was,0
Kill Bill,187
Cupid - Twin Ver.,0
"What Was I Made For? [From The Motion Picture ""Barbie""]",0
Classy 101,187
Like Crazy,29
LADY GAGA,0
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,150
I Wanna Be Yours,73
"Peso Pluma: Bzrp Music Sessions, Vol. 55",139
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),0
SABOR FRESA,168
Calm Down (with Selena Gomez),96
MOJABI GHOST,211
Last Night,325
Dance The Night (From Barbie The Album),0
Rush,294
TULUM,197
Creepin',27
Anti-Hero,310
TQG,354
Los del Espacio,184
Frï¿½ï¿½gil (feat. Grupo Front,212
Blank Space,81
Style,82
TQM,100
El Azul,62
Sunflower - Spider-Man: Into the Spider-Verse,69
I'm Good (Blue),727
See You Again,311
Barbie World (with Aqua) [From Barbie The Album],0
Angels Like You,102
I Ain't Worried,332
Die For You,259
Starboy,140
Die For You - Remix,16
El Cielo,110
Baby Don't Hurt Me,810
AMARGURA,176
(It Goes Like) Nanana - Edit,0
Another Love,0
Blinding Lights,0
Moonlight,615
La Bachata,210
S91,216
cardigan,215
Tï¿½ï¿,167
Boy's a liar Pt. 2,37
Left and Right (Feat. Jung Kook of BTS),0
BESO,171
Hey Mor,16
Yellow,0
Karma,272
People,529
Overdrive,26
Enchanted (Taylor's Version),5
BABY HELLO,169
Heat Waves,0
golden hour,230
Sweater Weather,0
"Quevedo: Bzrp Music Sessions, Vol. 52",176
Viva La Vida,0
Here With Me,84
Unholy (feat. Kim Petras),154
Yandel 150,194
CORAZï¿½ï¿½N VA,93
Riptide,0
Until I Found You (with Em Beihold) - Em Beihold Version,115
Novidade na ï¿½ï¿,72
Back To December (Taylor's Version),8
STAY (with Justin Bieber),0
El Merengue,323
Someone You Loved,0
Me Porto Bonito,49
Makeba,0
MONTAGEM - FR PUNK,0
Fast Car,429
What It Is (Solo Version),162
Coco Chanel,82
Donï¿½ï¿½ï¿½t Bl,10
Still With You,0
All My Life (feat. J. Cole),478
Say Yes To Heaven,0
Snooze,236
Summertime Sadness,200
Take Two,78
Lover,5
Too Many Nights (feat. Don Toliver & with Future),266
Chemical,486
Mockingbird,204
New Jeans,34
Primera Cita,202
Cold Heart - PNAU Remix,312
Dandelions,32
Bones,153
Set Fire to the Rain,519
Money Trees,458
Tak Segampang Itu,48
LAGUNAS,184
Mine (Taylor's Version),0
Everybody Wants To Rule The World,666
No Role Modelz,14
Tattoo,925
Rara Vez,88
VAGABUNDO,203
august,44
LUNA,74
Miracle (with Ellie Goulding),638
Nonsense,64
Que Vuelvas,71
Por las Noches,2
Feliz Cumpleaï¿½ï¿½os Fe,3
Can't Hold Us (feat. Ray Dalton),0
Watermelon Sugar,0
lovely - Bonus Track,136
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",88
Queencard,148
OMG,22
Radio,368
"Shakira: Bzrp Music Sessions, Vol. 53",22
505,1
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",189
Trance (with Travis Scott & Young Thug),176
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",52
Perfect,0
Romantic Homicide,9
Believer,31
Novo Balanï¿½,66
"Gol Bolinha, Gol Quadrado 2",66
Without Me,0
QUEMA,208
Stargirl Interlude,1
Ojitos Lindos,28
Somewhere Only We Know,558
Those Eyes,195
El Gordo Trae El Mando,13
Mi Bello Angel,93
Bye,60
Danza Kuduro,503
Nosso Quadro,72
Locked Out Of Heaven,0
Un Finde | CROSSOVER #2,56
Jimmy Cooks (feat. 21 Savage),34
Counting Stars,153
Ghost,0
Under The Influence,0
PRC,15
Gasolina,454
One Dance,26
Enchanted,40
Save Your Tears,200
Sure Thing,285
Every Breath You Take - Remastered 2003,129
The Night We Met,162
We Found Love,58
When I Was Your Man,0
Let Me Down Slowly,0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",44
Do I Wanna Know?,26
Demons,13
ýýýýýýýýýýýý,117
Reminder,47
Shake It Off,20
Why'd You Only Call Me When You're High?,1
SNAP,0
Shape of You,0
Night Changes,0
Fin de Semana,30
Creep,80
Car's Outside,263
Apocalypse,116
Cheques,57
Pink + White,39
Circles,37
Just The Way You Are,0
Take Me To Church,0
Bebe Dame,111
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,7
Titi Me Preguntï¿,166
Better Than Revenge (Taylor's Version),1
Shut up My Moms Calling,19
Have You Ever Seen The Rain?,167
Es un Secreto,0
POLARIS - Remix,99
Ditto,51
Take On Me,0
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",10
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",0
Acrï¿½ï¿½s,31
AMG,3
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",31
S-Class,73
Hits Different,0
Chanel,26
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),19
Area Codes,171
Abcdario,109
Obsessed,42
Piï¿½ï¿½man Deï¿,33
FLOWER,69
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",0
Eyes Closed,675
Escapism.,348
La Jumpa,8
Karma (feat. Ice Spice),0
Superhero (Heroes & Villains) [with Future & Chris Brown],36
Las Morras,1
CHORRITO PA LAS ANIMAS,3
Ch y la Pizza,14
Snow On The Beach (feat. More Lana Del Rey),0
Players,240
Bite Me,56
Stand By Me (feat. Morgan Wallen),113
Normal,6
Hummingbird (Metro Boomin & James Blake),1
Seu Brilho Sumiu - Ao Vivo,29
Bad Habit,29
CUFF IT,23
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),4
69,3
Niï¿½ï¿½a Bo,44
Search & Rescue,182
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),1
Lavender Haze,1
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",0
Efecto,2
Erro Gostoso - Ao Vivo,49
Cupido,54
Just Wanna Rock,0
Unstoppable,0
Until I Found You,438
Rich Flex,23
Easy On Me,9
Cartï¿½ï¿½o B,11
Danger (Spider) (Offset & JID),0
Oi Balde - Ao Vivo,33
The Real Slim Shady,17
MERCHO,84
The Color Violet,54
Glimpse of Us,31
Mejor Que Yo,1
Curtains,50
UNFORGIVEN (feat. Nile Rodgers),49
Haegeum,9
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,29
MIENTRAS ME CURO DEL CORA,0
Never Felt So Alone,20
X SI VOLVEMOS,4
ceilings,6
Cupid,320
I AM,55
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,0
Shorty Party,33
Super,55
Slut Me Out,4
Double Fantasy (with Future),0
All Of The Girls You Loved Before,5
PROVENZA,20
Princess Diana (with Nicki Minaj),0
Di Que Si,37
Shivers,0
Igualito a Mi Apï¿,4
Shoong! (feat. LISA of BLACKPINK),64
Komang,18
DESPECHï¿,55
Made You Look,16
Watch This - ARIZONATEARS Pluggnb Remix,0
No Se Va,38
Punto G,1
Lovers Rock,37
METAMORPHOSIS,30
Mami Chula,43
En Paris,0
Set Me Free Pt.2,9
I Was Never There,27
Don't ever say love me (feat. RM of BTS),0
Shut Down,2
Gato de Noche,0
Call Out My Name,105
Like Crazy (English Version),5
Rosa Pastel,1
Sunroof,0
Lose Yourself - Soundtrack Version,51
Superman,0
Mas Rica Que Ayer,1
People Pt.2 (feat. IU),24
REMIX EXCLUSIVO,6
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol",1
DOGTOOTH,33
10:35,63
SORRY NOT SORRY,0
HAPPY,78
La Bebe,2
I Know - PR1SVX Edit,1
Late Night Talking,58
Leï¿½,28
Save Your Tears (with Ariana Grande) (Remix),10
Something in the Orange,117
VOID,52
Dijeron Que No La Iba Lograr,9
Midnight Rain,0
If We Ever Broke Up,444
You Proof,14
LA INOCENTE,85
Malas Decisiones,0
Murder In My Mind,22
Gangsta's Paradise,0
CAIRO,16
I Love You So,6
Dark Red,10
Say You Won't Let Go,13
The Hills,18
Heart To Heart,1
Peaches (from The Super Mario Bros. Movie),0
Marisola - Remix,0
LOKERA,3
Low,9
Numb,0
Tormenta (feat. Bad Bunny),0
on the street (with J. Cole),9
One Thing At A Time,21
Miss You,165
Ainï¿½ï¿½ï¿½t Tha,0
Thinkinï¿½ï¿½ï¿½ B,66
Private Landing (feat. Justin Bieber & Future),19
Everything I Love,103
Heaven,150
LET GO,8
Sial,23
I Wrote The Book,0
"Apna Bana Le (From ""Bhediya"")",48
SPIT IN MY FACE!,0
PLAYA DEL INGLï¿½,47
Man Made A Bar (feat. Eric Church),0
Red Ruby Da Sleeze,21
Kahani Suno 2.0,1
Nobody Gets Me,2
PERO Tï¿,1
Hype Boy,7
Bloody Mary,734
Monotonï¿½,19
ýýý98 Braves,0
WANDA,7
Thought You Should Know,61
In The End,0
Zona De Perigo,0
Lovezinho,4
I Like You (A Happier Song) (with Doja Cat),38
Neverita,0
Vista Al Mar,4
Sem Alianï¿½ï¿½a no ,1
Enemy (with JID) - from the series Arcane League of Legends,10
Revenge,2
Bombonzinho - Ao Vivo,6
LA CANCIï¿½,5
Quï¿½ï¿½ Ago,52
Love Again,0
After Hours,221
About Damn Time,0
Born With A Beer In My Hand,0
ýýýýýýýýýýýýýýýýýýýýý,23
Besos Moja2,1
Maan Meri Jaan,8
Moscow Mule,2
My Universe,0
Devil Donï¿½ï¿½ï¿½,0
LLYLM,59
I'm Not Here To Make Friends,9
TRUSTFALL,451
ANTIFRAGILE,3
Boy's a liar,0
VIBE (feat. Jimin of BTS),15
Shirt,2
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,41
STAR WALKIN' (League of Legends Worlds Anthem),192
"Sex, Drugs, Etc.",124
Boy With Luv (feat. Halsey),1
"Hey, Mickey!",3
Calm Down,0
Jhoome Jo Pathaan,0
Escapism. - Sped Up,8
Space Song,0
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],21
Te Felicito,1
Muï¿½ï¿½,0
TV,25
I'm Not The Only One,30
Heather,2
"Besharam Rang (From ""Pathaan"")",0
One Kiss (with Dua Lipa),0
Sugar Rush Ride,13
Pink Venom,13
WAIT FOR U (feat. Drake & Tems),35
Don't Start Now,8
After Dark,0
Eu Gosto Assim - Ao Vivo,4
INDUSTRY BABY (feat. Jack Harlow),0
MIDDLE OF THE NIGHT,52
Atlantis,32
PUNTO 40,0
Evoque Prata,0
How Do I Say Goodbye,154
Blind,0
Die For You,0
Doja,11
Gatita,1
Rumble,1
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],2
Yonaguni,0
