Track,Spotify_playlists,Spotify_Charts
Seven (feat. Latto) (Explicit Ver.),553,147
LALA,1474,48
vampire,1397,113
Cruel Summer,7858,100
WHERE SHE GOES,3133,50
Sprinter,2186,91
Ella Baila Sola,3090,50
Columbia,714,43
fukumean,1096,83
La Bebe - Remix,2953,44
un x100to,2876,40
Super Shy,422,55
Flowers,12211,115
Daylight,3528,98
As It Was,23575,130
Kill Bill,8109,77
Cupid - Twin Ver.,2942,77
"What Was I Made For? [From The Motion Picture ""Barbie""]",873,104
Classy 101,2610,40
Like Crazy,596,68
LADY GAGA,332,26
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,516,38
I Wanna Be Yours,12859,110
"Peso Pluma: Bzrp Music Sessions, Vol. 55",1313,40
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),1945,87
SABOR FRESA,250,26
Calm Down (with Selena Gomez),7112,77
MOJABI GHOST,859,40
Last Night,2420,19
Dance The Night (From Barbie The Album),2988,101
Rush,864,78
TULUM,266,34
Creepin',6036,88
Anti-Hero,9082,56
TQG,4284,49
Los del Espacio,1150,31
Frï¿½ï¿½gil (feat. Grupo Front,672,34
Blank Space,11434,53
Style,7830,42
TQM,584,28
El Azul,692,25
Sunflower - Spider-Man: Into the Spider-Verse,24094,78
I'm Good (Blue),12482,80
See You Again,13387,64
Barbie World (with Aqua) [From Barbie The Album],1117,80
Angels Like You,3372,19
I Ain't Worried,8431,76
Die For You,2483,59
Starboy,29536,79
Die For You - Remix,3408,47
El Cielo,1298,38
Baby Don't Hurt Me,4277,66
AMARGURA,1133,39
(It Goes Like) Nanana - Edit,2259,59
Another Love,18371,83
Blinding Lights,43899,69
Moonlight,2649,42
La Bachata,6804,45
S91,525,41
cardigan,7923,29
Tï¿½ï¿,731,15
Boy's a liar Pt. 2,5184,41
Left and Right (Feat. Jung Kook of BTS),3107,39
BESO,4053,50
Hey Mor,4637,38
Yellow,31358,43
Karma,3818,23
People,3506,56
Overdrive,410,36
Enchanted (Taylor's Version),148,24
BABY HELLO,1004,35
Heat Waves,22543,63
golden hour,4511,36
Sweater Weather,16413,61
"Quevedo: Bzrp Music Sessions, Vol. 52",8506,45
Viva La Vida,33898,62
Here With Me,3246,23
Unholy (feat. Kim Petras),8576,42
Yandel 150,3618,38
CORAZï¿½ï¿½N VA,370,20
Riptide,31123,55
Until I Found You (with Em Beihold) - Em Beihold Version,2790,30
Novidade na ï¿½ï¿,267,9
Back To December (Taylor's Version),139,17
STAY (with Justin Bieber),17050,36
El Merengue,2114,44
Someone You Loved,17836,53
Me Porto Bonito,8870,43
Makeba,6060,53
MONTAGEM - FR PUNK,641,50
Fast Car,1446,12
What It Is (Solo Version),804,25
Coco Chanel,1962,38
Donï¿½ï¿½ï¿½t Bl,4875,23
Still With You,31,39
All My Life (feat. J. Cole),2175,23
Say Yes To Heaven,2000,46
Snooze,2839,25
Summertime Sadness,20333,52
Take Two,674,47
Lover,8448,23
Too Many Nights (feat. Don Toliver & with Future),2110,58
Chemical,2528,39
Mockingbird,12985,61
New Jeans,77,35
Primera Cita,266,27
Cold Heart - PNAU Remix,21097,52
Dandelions,3423,21
Bones,4198,44
Set Fire to the Rain,14739,43
Money Trees,26792,32
Tak Segampang Itu,213,6
LAGUNAS,58,18
Mine (Taylor's Version),99,15
Everybody Wants To Rule The World,41751,25
No Role Modelz,21164,36
Tattoo,2988,59
Rara Vez,893,38
VAGABUNDO,1094,34
august,7324,22
LUNA,201,11
Miracle (with Ellie Goulding),5120,48
Nonsense,2346,27
Que Vuelvas,763,26
Por las Noches,457,24
Feliz Cumpleaï¿½ï¿½os Fe,3430,38
Can't Hold Us (feat. Ray Dalton),6074,52
Watermelon Sugar,21915,34
lovely - Bonus Track,15032,30
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",871,32
Queencard,451,33
OMG,1783,27
Radio,9389,46
"Shakira: Bzrp Music Sessions, Vol. 53",5724,44
505,13985,25
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",1051,16
Trance (with Travis Scott & Young Thug),1682,46
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",182,8
Perfect,16596,13
Romantic Homicide,2335,23
Believer,18986,23
Novo Balanï¿½,283,7
"Gol Bolinha, Gol Quadrado 2",293,8
Without Me,21081,43
QUEMA,437,31
Stargirl Interlude,1275,32
Ojitos Lindos,6135,38
Somewhere Only We Know,20015,16
Those Eyes,1507,14
El Gordo Trae El Mando,539,21
Mi Bello Angel,86,8
Bye,324,14
Danza Kuduro,17138,37
Nosso Quadro,894,9
Locked Out Of Heaven,1622,9
Un Finde | CROSSOVER #2,561,14
Jimmy Cooks (feat. 21 Savage),5871,27
Counting Stars,29215,43
Ghost,5866,24
Under The Influence,3859,26
PRC,961,26
Gasolina,6457,18
One Dance,43257,24
Enchanted,4564,16
Save Your Tears,12688,13
Sure Thing,13801,19
Every Breath You Take - Remastered 2003,22439,19
The Night We Met,18515,35
We Found Love,36843,21
